timestamp,vehiculo_id,vehiculo_nombre,electrolinera_id,electrolinera_nombre,nodo_origen_osm,nivel_bateria_llegada,distancia_recorrida_m
2026-04-22 21:00:00,V2,BYD Seagull (Std Range),E6,Éxito de La Rosita,845132340,18.43,2954.5
2026-04-30 15:00:00,V1,Tesla Model 3 Long Range,E7,Centro Comercial La Florida,839087681,19.53,4033.7
2026-05-01 21:00:00,V2,BYD Seagull (Std Range),E7,Centro Comercial La Florida,839087681,19.32,4033.7
2026-05-12 09:00:00,V2,BYD Seagull (Std Range),E6,Éxito de La Rosita,845132340,18.85,2954.5
2026-05-15 15:00:00,V1,Tesla Model 3 Long Range,E7,Centro Comercial La Florida,839087681,19.05,4033.7
2026-04-23 21:00:00,V2,BYD Seagull (Std Range),E2,Centro Comercial Quinta Etapa,839097185,19.2,1004.3
2026-04-22 13:00:00,V2,BYD Seagull (Std Range),E3,Centro Comercial Cacique,839103570,19.34,337.8
2026-04-30 15:00:00,V1,Tesla Model 3 Long Range,E7,Centro Comercial La Florida,2791599646,19.45,332.9
2026-05-03 01:00:00,V2,BYD Seagull (Std Range),E7,Centro Comercial La Florida,839092126,19.88,619.0
2026-05-12 05:00:00,V2,BYD Seagull (Std Range),E6,Éxito de La Rosita,845132340,19.12,2954.5
2026-05-14 03:00:00,V1,Tesla Model 3 Long Range,E7,Centro Comercial La Florida,286385600,19.92,1106.9
2026-04-22 21:00:00,V2,BYD Seagull (Std Range),E6,Éxito de La Rosita,845132340,17.78,2954.5
2026-04-22 09:00:00,V2,BYD Seagull (Std Range),E7,Centro Comercial La Florida,839092126,17.84,619.0
2026-05-01 23:00:00,V1,Tesla Model 3 Long Range,E2,Centro Comercial Quinta Etapa,839097185,19.88,1004.3
2026-05-03 09:00:00,V2,BYD Seagull (Std Range),E3,Centro Comercial Cacique,839103570,19.88,337.8
2026-05-12 13:00:00,V2,BYD Seagull (Std Range),E2,Centro Comercial Quinta Etapa,839097185,19.6,1004.3
2026-04-23 05:00:00,V2,BYD Seagull (Std Range),E7,Centro Comercial La Florida,839092126,18.15,619.0
2026-04-28 15:00:00,V1,Tesla Model 3 Long Range,E6,Éxito de La Rosita,845132340,19.42,2954.5
2026-05-03 09:00:00,V2,BYD Seagull (Std Range),E1,Homecenter Bucaramanga,948655341,19.51,489.9
2026-04-23 05:00:00,V2,BYD Seagull (Std Range),E7,Centro Comercial La Florida,839087681,18.9,4033.7
2026-05-02 15:00:00,V1,Tesla Model 3 Long Range,E2,Centro Comercial Quinta Etapa,839097185,19.86,1004.3
2026-05-04 01:00:00,V2,BYD Seagull (Std Range),E6,Éxito de La Rosita,845132340,18.96,2954.5
